quantification_cDNA;coverage_depth;reads;coverage_genome
26.6;8.177039093;8727;63.171
51.4;51.07838678;25481;91.412
87.8;38.39892318;17041;89.8
71.4;79.54703541;35865;94.318
71.2;94.5484734;42045;95.141
98.2;100.2412801;45072;95.171
42.8;31.8035983;17981;80.353
85.4;95.63739424;40993;96.857
80;1435.1682;108465;96.994
42.4;892.1534;67974;96.994
84.6;851.9571;64831;96.994
50.8;1146.3591;87357;96.994
69.2;551.5496;42078;95.994
68.6;841.1643;63710;96
44.6;719.034;54831;96.994
7.28;3.4283;283;0
69.8;835.531;63194;96
66.4;912.2746;69014;95.141
65.2;608.1855;46099;94.91
55.4;456.727;34561;93.506
28.2;897.5816;68237;94.79
37.8;513.5235;39503;91.268
81;351.307;26804;90.489
46.8;314.3858;24164;93.506
4.12;6.6028;566;1.164
3.92;8.2013;679;0
3.52;8.7019;727;2.271
14.2;0.6042;48;0
6.32;193.916;15352;78.119
15;386.6259;30045;90.429
4.8;9.9595;838;8.959
14.1;352.5962;27543;90.439
11.2;719.4883;55812;93.389
13.7;345.912;26966;89.576
18.1;442.1265;34304;91.292
25.8;431.2918;33076;93.181
4.32;5.9504;499;0
19.4;1249.8136;95731;95.903
35;718.1806;54754;97.017
8.06;281.7747;22175;81.657
16.2;457.9204;35125;93.305
21.6;325.2823;24951;94.114
16.2;363.725;28257;93.318
13.2;653.6999;50699;93.322
